Date.stocked,Date.initial.count,Age.initial.count,Family,Rep,TRT,TRT-REP,Singles.35.days,Silo.35.days,Screen.35.days,Live.35.days,Date.imaged,Age.imaged.final.count, Singles.50.days , Silo.50.days , Screen.50.days ,Live.50.days,,,,,,
03/31/18,05/06/18, 36 ,B1-2,A,B,B1,12,60,3,75,05/23/18, 53 , 49 ,55 ,3 , 177 ,,,,,,
03/31/18,05/06/18, 36 ,B1-2,B,B,B1,16,39,8,63,05/23/18, 53 , NA ,31 ,8 , NA ,,,,,,
03/31/18,05/06/18, 36 ,B1-2,C,B,B1,3,39,1,43,05/23/18, 53 , NA ,30 ,1 , NA ,,,,,,
04/01/18,05/06/18, 35 ,A2-3,A,A,A2,2,38,0,40,05/23/18, 52 , 5 ,25 ,0 , 46 ,,,,,,
04/01/18,05/06/18, 35 ,A2-3,B,A,A2,0,20,1,21,05/23/18, 52 , NA ,12 ,1 , NA ,,,,,,
04/01/18,05/06/18, 35 ,A2-3,C,A,A2,1,3,0,4,05/23/18, 52 , NA ,3 ,0 , NA ,,,,,,
04/02/18,05/08/18, 36 ,D1-2,A,D,D1,20,115,12,147,05/23/18, 51 , 41 ,89 ,9 , 463 ,,,,,,
04/02/18,05/08/18, 36 ,D1-2,B,D,D1,6,133,2,141,05/23/18, 51 , NA ,130 ,2 , NA ,,,,,,
04/02/18,05/08/18, 36 ,D1-2,C,D,D1,12,202,4,218,05/23/18, 51 , NA ,191 ,1 , NA ,,,,,,
04/02/18,05/08/18, 36 ,B2-3,A,B,B2,8,42,7,57,05/23/18, 51 , 26 ,26 ,1 , 96 ,,,,,,
04/02/18,05/08/18, 36 ,B2-3,B,B,B2,10,36,3,49,05/23/18, 51 , NA ,24 ,1 , NA ,,,,,,
04/02/18,05/08/18, 36 ,B2-3,C,B,B2,2,27,2,31,05/23/18, 51 , NA ,18 ,0 , NA ,,,,,,
04/02/18,05/08/18, 36 ,A1-2,A,A,A1,28,53,7,88,05/23/18, 51 , 79 ,37 ,3 , 190 ,,,,,,
04/02/18,05/08/18, 36 ,A1-2,B,A,A1,19,36,5,60,05/23/18, 51 , NA ,33 ,3 , NA ,,,,,,
04/02/18,05/08/18, 36 ,A1-2,C,A,A1,28,40,15,83,05/23/18, 51 , NA ,28 ,7 , NA ,,,,,,
04/02/18,05/08/18, 36 ,D2-1,A,D,D2,4,108,3,115,05/23/18, 51 , 24 ,68 ,1 , 295 ,,,,,,
04/02/18,05/08/18, 36 ,D2-1,B,D,D2,16,146,4,166,05/23/18, 51 , NA ,107 ,3 , NA ,,,,,,
04/02/18,05/08/18, 36 ,D2-1,C,D,D2,2,143,1,146,05/23/18, 51 , NA ,92 ,0 , NA ,,,,,,
04/02/18,05/08/18, 36 ,B1-4,A,B,B1,5,49,15,69,05/23/18, 51 , 25 ,19 ,6 , 75 ,,,,,,
04/02/18,05/08/18, 36 ,B1-4,B,B,B1,5,22,6,33,05/23/18, 51 , NA ,13 ,0 , NA ,,,,,,
04/02/18,05/08/18, 36 ,B1-4,C,B,B1,4,19,4,27,05/23/18, 51 , NA ,11 ,1 , NA ,,,,,,
04/03/18,05/08/18, 35 ,A1-3,A,A,A1,0,2,0,2,05/23/18, 50 , 3 ,2 ,0 , 9 ,,,,,,
04/03/18,05/08/18, 35 ,A1-3,B,A,A1,0,0,0,0,05/23/18, 50 , NA ,0 ,0 , NA ,,,,,,
04/03/18,05/08/18, 35 ,A1-3,C,A,A1,1,3,0,4,05/23/18, 50 , NA ,3 ,1 , NA ,,,,,,
04/03/18,05/08/18, 35 ,D2-2,A,D,D2,1,8,0,9,05/23/18, 50 , 6 ,4 ,0 , 26 ,,,,,,
04/03/18,05/08/18, 35 ,D2-2,B,D,D2,2,4,0,6,05/23/18, 50 , NA ,4 ,0 , NA ,,,,,,
04/03/18,05/08/18, 35 ,D2-2,C,D,D2,2,17,0,19,05/23/18, 50 , NA ,12 ,0 , NA ,,,,,,
04/04/18,05/10/18, 36 ,C2-2,A,C,C2,2,33,1,36,05/23/18, 49 , 8 ,27 ,0 , 48 ,,,,,,
04/04/18,05/10/18, 36 ,C2-2,B,C,C2,0,5,2,7,05/23/18, 49 , NA ,5 ,1 , NA ,,,,,,
04/04/18,05/10/18, 36 ,C2-2,C,C,C2,0,5,1,6,05/23/18, 49 , NA ,7 ,0 , NA ,,,,,,
04/05/18,05/10/18, 35 ,C1-1,A,C,C1,1,93,8,102,05/27/18, 52 , 20 ,66 ,0 , 139 ,,,,,,
04/05/18,05/10/18, 35 ,C1-1,B,C,C1,1,65,30,96,05/27/18, 52 , NA ,40 ,1 , NA ,,,,,,
04/05/18,05/10/18, 35 ,C1-1,C,C,C1,0,39,4,43,05/27/18, 52 , NA ,12 ,0 , NA ,,,,,,
04/05/18,05/10/18, 35 ,D1-3,A,D,D1,1,4,1,6,05/27/18, 52 , 2 ,3 ,0 , 22 ,,,,,,
04/05/18,05/10/18, 35 ,D1-3,B,D,D1,0,12,0,12,05/27/18, 52 , NA ,15 ,0 , NA ,,,,,,
04/05/18,05/10/18, 35 ,D1-3,C,D,D1,1,5,0,6,05/27/18, 52 , NA ,2 ,0 , NA ,,,,,,
